PLATE,SOURCE,TIME
TM8705106,webcam,2026-05-19 22:28:18
TM875106,webcam,2026-05-19 22:28:18
T88705106,webcam,2026-05-19 22:28:18
TM875106,webcam,2026-05-19 22:28:18
TN8705106,webcam,2026-05-19 22:28:19
TH875106,webcam,2026-05-19 22:28:19
TM875106,webcam,2026-05-19 22:28:19
TH8705106,webcam,2026-05-19 22:28:19
TN8705106,webcam,2026-05-19 22:28:19
TM8705106,webcam,2026-05-19 22:28:19
TN8705106,webcam,2026-05-19 22:28:19
TM875106,webcam,2026-05-19 22:28:20
UP32J3010,webcam,2026-05-19 23:11:01
KUP32J83010,webcam,2026-05-19 23:11:01
UP32JY3010,webcam,2026-05-19 23:11:02
UP32J3010,webcam,2026-05-19 23:11:02
UP32J3010,webcam,2026-05-19 23:11:02
UP32J3010,webcam,2026-05-19 23:11:02
UP32J83010,webcam,2026-05-19 23:11:02
UP32J3010,webcam,2026-05-19 23:11:02
UP32J3010,webcam,2026-05-19 23:11:02
FUP32J3010,webcam,2026-05-19 23:11:03
UP32J3010,webcam,2026-05-19 23:11:03
UP32JY3010,webcam,2026-05-19 23:11:03
UP32J3010,webcam,2026-05-19 23:11:03
UP32J3010,webcam,2026-05-19 23:11:03
UP32J83010,webcam,2026-05-19 23:11:03
KUP32JY3010,webcam,2026-05-19 23:11:03
UP32JY3010,webcam,2026-05-19 23:11:03
LUP32JY3010,webcam,2026-05-19 23:11:03
UP32JY3010,webcam,2026-05-19 23:11:03
UP32JY3010,webcam,2026-05-19 23:11:04
KUP32J83010,webcam,2026-05-19 23:11:04
UP32JY3010,webcam,2026-05-19 23:11:04
UP32J83010,webcam,2026-05-19 23:11:04
RUP32J83010,webcam,2026-05-19 23:11:04
UP32J3010,webcam,2026-05-19 23:11:04
UP32J3010,webcam,2026-05-19 23:11:04
UP32J3010,webcam,2026-05-19 23:11:04
UP32J83010,webcam,2026-05-19 23:11:04
UP32J3010,webcam,2026-05-19 23:11:04
UP32J3010,webcam,2026-05-19 23:11:05
UP32J3010,webcam,2026-05-19 23:11:05
EUP32JV3010,webcam,2026-05-19 23:11:05
UP32J3010,webcam,2026-05-19 23:11:05
UP32J83010,webcam,2026-05-19 23:11:05
UP32J3010,webcam,2026-05-19 23:11:05
UP32J83010,webcam,2026-05-19 23:11:05
UP32J83010,webcam,2026-05-19 23:11:05
UP32JY3010,webcam,2026-05-19 23:11:05
UP32J3010,webcam,2026-05-19 23:11:05
UP32JY3010,webcam,2026-05-19 23:11:06
EUP32J3010,webcam,2026-05-19 23:11:06
UP32J3010,webcam,2026-05-19 23:11:06
UP32JY3010,webcam,2026-05-19 23:11:06
UP32J3010,webcam,2026-05-19 23:11:06
B3773290,webcam,2026-05-19 23:20:11
RJ11CV0002,webcam,2026-05-19 23:21:14
RJ11CV0002,webcam,2026-05-19 23:21:14
RJ11CV0002,webcam,2026-05-19 23:21:14
RJ11CV0002,webcam,2026-05-19 23:21:15
RJ11CV0002,webcam,2026-05-19 23:21:15
RJ11CY0002,webcam,2026-05-23 16:09:50
RJ11CV0002,webcam,2026-05-23 16:09:51
RJ11CV00,webcam,2026-05-23 16:09:51
RJ1CV0002,webcam,2026-05-23 16:09:51
228H6517AF,webcam,2026-05-23 16:09:51
